diet,why_diet
Vegan,"I follow this diet because it is, based off of nutrition research, adequate for all stages of life to thrive and minimises harm to animals. Because I can buy food in the supermarket I think it would be unethical to buy animal products since they have no benefit other than taste preferance and seem to, based off of nutrition research, increase risk of some of our worst ailments."
Vegan,Do not agree with human arrogance towards controlling the lives of other living beings and commercialising the slaughtering and torture of such animals. Neither do I respect the lack of responsibility for those who buy animal products without the emotional energy exchange of killing the animal themselves.
Vegan,"Don't want to contribute to the harm of an animal in any way, environmental and health"
Vegan,"For health reasons I choose not to eat meat & Dairy. My body and mind feel better when I cut these foods out of my diet.

I do still eat and love honey though so i wouldn't be considered a ""proper vegan"""
Vegan,Animal cruelty and reducing my environmental impact
Vegan,"Initially due to the compassion to animals and the suffering they endure, then through this I learnt about the destruction to our planet."
Vegan,It started asenvironmwntal reasons and quickly became for ethical reasons.
Vegan,Initially it was a moral decision as I discovered more and more of how farm animals are realistically treated. But I have remained vegetarian and then vegan for environmental reasons as regularly consuming meat and animal products is a truely unsustainable choice. The overall health benefits are a bonus.
Vegetarian,"Choice, and I lived with a Vegetarian for 10yrs when I was 19 and it was easier to not cook meat."
Vegan,Animal ethics & health benefits
Vegan,"Health,  ethics,  conservation of the environment"
Vegan,"1) I follow the diet to mainly stop my contributions to animal cruelty or human induced suffering for animals.  
2) I consider going on the vegan diet to be also a part of my contribution to reducing the environmental impacts from animal husbandry. With the growing human population, I believe that it is not going to a sustainable process if we are higher on the food chain. And I can start with my own personal action.
3)I also understand that choosing to go lower on the food chain is more energy efficient in today's world when we have access to many types of grains, legumes, vegetables, fruits and greens. I've experienced multiple health benefits as well after transitioning to vegan from an omnivore diet"
Vegan,"No inflamation in plant based, ethical love of animals"
Vegan,"Ethical, health and environmental reasons"
Vegan,"Being a vegan for me is not a diet. It’s not something you just do for a few months to loss weight. It’s a way of life. Everyday, all day forever. I truly believe it’s a much healthier way of living. I also don’t like to see any animal suffer for any reason. A cow or sheep is no different to a dog or cat. And should be treated with the same kindness and compassion."
Vegan,Ethical beliefs and health
Vegan,"Primarily ethical, but also for the environment and my health."
Vegan,"Animal torturing, killing, and exploitation for no reason."
Vegan,Health and ethical
Vegan,Its an ethical choice
Vegan,"Ethical, health, environmental impact"
Vegan,"Health - animals, planet & myself"
Vegan,Primarily animal welfare
Vegan,"love of animals, my own health and environmental health"
Vegan,"Health, ethical and environmental reasons"
Vegan,"Ethical, health, planet"
Vegan,Health
Vegan,"For ethical, environmental and health reasons"
Vegan,"Environmental reasons (more sustainable), the horrible treatment of animals in farming/meat and dairy productio. I love and value all living creatures and think that our society is incredibly disconnected from the food we eat."
Vegan,"I know it is wrong to kill , and exploit other animals. , try and reduce harm to animals , the planet and our health"
Vegan,"For ethical reason. I believe animals are not ours for food, clothing, entertainment ect"
Vegetarian,I feel it's more ethical.
Vegan,"It began environmentally, 
Later came ethical and health."
Vegan,"It's better for the environment, and probably better for my health too.

The production and consumption of plant foods (as opposed to animal products) is significantly less harmful to the Earth and the sentient creatures who live on it.

At this point in my life, it makes more sense for me to avoid all animal products, and try to live in the most sustainable and least harmful way possible."
Vegan,"Environment, animal welfare, third world starving, deforestation."
Vegan,"Health 
Animal welfare 
Environmental concern"
Vegan,I don't want animals to suffer or die or be farmed or eat flesh or pus-filled milk and cheese products. There is no need for an animal to lose its life for me to sustain my life.
Vegan,Ethical and environmental
Vegetarian,Trying to be healthier
Vegan,ethical
Vegan,Stared to end my contribution to animal suffering and now also do it for environmental and health reasons
Vegan,"Primarily ethical concern - avoiding animal suffering and injustices. 
I also want to avoid the environmental impact of animal agriculture etc."
Vegan,"Did not want to support animal cruelty and have such products in my body, it’s more environmentally friendly and I had lots of food intolerances so it’s easier to manage my health on a vegan diet"
Vegan,Ethical reasons; I don’t want to intentionally cause harm to any animal
Vegan,Ethical and environmental reasons
Omnivore,"I was raised in this diet, and it is hard to give up meat due to its dopamine releasing qualities (and its good taste)."
Vegan,"Ethics, sustainability, health."
Vegan,"Animal rights, health & environment"
Vegan,Be kind to animals. Religious. Health.
Vegan,"Health, sustainability, environment, animal ethics"
Vegan,I love animals and the environment. I want animals to be free and I want to lower my negative impact on the planet.
Vegan,For both the health and wellness benefits and for ethical and moral reasons.
Vegan,"Environmental impact, health, animal rights, and I genuinely feel better on this diet"
Vegan,Ethical and environmental. Try to live the most compassionate life I can
Vegan,"The cruelty performed against animals is absolutely ridiculous, as well as the huge of CO2 footprint you’ll have if you eat animal products (as it’s the worlds biggest contributor to global warming) is too much to carry on ones mind once you’ve been made aware."
Vegetarian,"To minimise my environmental impact, reduce unnecessary animal death and exploitation and a small element of health benefits."
Vegan,mostly for environmental benefits but i am aware of health benefits and animal welfare issues
Vegan,Ethical and health reasons
Vegan,Don't wish to cause harm to animals. Better for the environment. Health.
Vegan,"Cruelty free, environment, health"
Vegan,For the animals
Omnivore,I like to eat a large variety of foods.
Vegan,"Ethical, environmental and health reasons."
Vegan,"For the animals, for the planet, for my health."
Vegan,To minimize harm to animals
Vegan,i won’t morally or financially support animal cruelty
Vegan,"To reduce my environmental impact, and avoid the exploitation of animals."
Vegan,Ethical reasons- I don’t want anybody to die so I can eat
Vegan,Ethical and environmental! Also dairy is scary!
Vegan,For ethical reasons - I don't believe it is ethical to cause unnecessary harm to other sentient beings.
Vegan,"Animal rights firstly, health second"
Vegan,Because forcing animals to die and torturing them for our own benefit is disgusting and cruel
Omnivore,I like both vegetarian and meat meals.
Vegan,"Ethical reasons (minimise harm to animals), sustainability reasons, health reasons, global hunger crisis reasons and environmental reasons."
Vegan,After much research...ethics and health.
Vegan,"Animal welfare, environmental benefits, and health benefits (in that order)."
Vegan,"Animal cruelty, environmental issues and health"
Vegan,"To save the world. To save water wastage, to save greenhouse gasses but mainly so animals don’t have to go through torture just so we can consume them on the daily. Babies getting taken from mothers just so the farmers can take all the mothers milk, the babies then being raised till their old enough to kill, hanging chickens by their feet and cutting the whole body off except their feet... how disgusting does that sound? I don’t want to be apart of the group of people that contribute to that."
Vegan,100% ethical.
Vegetarian,Ethical / moral reasons
Vegan,"Animal rights
Health"
Vegan,"Realisation that the consumption of meat includes the suffering of animals life and this is not ok. The horrific conditions of factory farming, and the environmental impact of animal husbandry"
Vegan,"My own health, the environment and most importantly; the animals"
Vegan,"My body can no longer digest meat or animal products, however I wanted to be vegan for a long time anyway for moral reasons so it just gave me the extra push"
Vegan,"Ethical, sustainable and cruelty free."
Vegan,Heath and the love of all beings
Vegan,"Ethical, environmental and health."
Vegan,Health and environmental reasons
Vegan,It’s more environmental friendly and meat is disgust
Vegan,"Health, environmental issues and animal welfare."
Vegan,Environmental and Animal Welfare issues
Vegan,Ethical reason (the treatment of animals for food and other uses is unnecessary)
Vegan,"Ethical - animal rights, environmentalism, human rights"
Vegan,For the animals
Vegan,"Ethics
Oppose use , abuse and cruelty to animals
Believe in animal rights"
Vegan,Ethical &gt; compassion and no harm to animals
Vegan,Animal welfare (reason I made the switch and have now found various other great reasons)
Vegan,For ethical and environmental reasons mostly.
Vegan,"Animal welfare, environmental reasons, mitigate cancer risk"
Vegan,Ethical and my body seems happier eating vegan
Omnivore,"Meat is delicious, easily accessible, filling  and very nutritious"
Vegetarian,"I am transitioning to vegan, but I follow this diet purely for ethical reasons. I have come to believe that I do not need to consume animal products to sustain my body and wellbeing."
Vegan,"I am against animal cruelty, it is better for my health, and it is better for the environment."
Vegan,"To stop the unethical treatment of sentient beings, stop the consumption of sentient beings, to decrease my greenhouse gas contributions and to continuously better my health"
Vegan,"ethical, there’s no need to eat or consume animal products in this day and age when there is so much else available, and the meat/dairy/egg industry is horrific and the animals deserve to live and happy and free life just like us."
Omnivore,This is what I grew up with
Vegan,"Animal cruelty, environment, health"
Vegetarian,Animal cruelty. Environment . Health
Vegan,"Mostly for ethical reasons, e.g. animal cruelty. Also for health reasons and environmental reasons."
Vegan,"Mainly health benefits especially leading into Menopause, I also love that I don’t have to kill or harm animals to survive. My two daughters are vegan, up until 6 months ago I had been vegetarian for 30 yrs, they convinced me to go all the way and I don’t know why I didn’t go vegan earlier, I feel so good on a vegan diet 😁"
Vegetarian,It initially started for environmental reasons and has now lead to environmental and ethical reasons.
Vegan,"Environmental 
Health 
Ethical 
Improved mental health following disordered eating"
Vegetarian,For health reasons and also kindness to animals
Omnivore,"Required to function as designed, having the correct balance of proteins both from meat and other is necessary to provide the right energy for the human body."
Vegan,Ethics
Vegetarian,"I am flexitarian. If somebody makes me meat I’ll eat it but I don’t like it. I would like to be vegan, but my housemates aren’t keen and we mealshare. It’s cruel and bad for the environment and violent."
Vegetarian,"Animal cruelty. I also limit dairy intake and exclude eggs, but have not successfully eliminated all yet"
Vegan,"Ethical, environmental, health"
Vegan,Ethical reasons as animals are sentient beings. Environmental reasons
Vegan,"I am vegan for ethical reasons, believing it is abhorrent and immoral to kill and exploit animals for food. I am also an environmentalist and believe a vegan way of living is the most sustainable. I am also health conscious and am aware a whole foods, plant based diet is the best for human health."
Vegan,"Foremost for ethical reasons, but health and environmental benefits are significant too."
Vegan,Ethical reasons (i dont believe a sentiant being should have to be harmed or die because i like how it tastes)
Vegan,Animal rights
Omnivore,I like meat
Vegan,I hate cruelty/murder of animals
Vegan,Because I want to live a happy life and I can't do that while causing unnecessary suffering
Vegan,For ethical reasons. I don’t want any animals to suffer.
Vegan,Animals and the environment.
Vegan,I don’t want to contribute to the exploitation of animals. All living beings deserve to live.
Vegan,"I follow a vegan diet to have the least negative impact on the environment as possible; initially I went (whole food plant based) vegan to help some significant health issues, since those cleared up I now am interested in animal welfare so I stay vegan for those three reasons"
Vegan,4 years ago meat started tasting bad/odd so I started researching different things and decided to become a Vegan
Vegan,Health and leaning more towards the animals too
Omnivore,Out of laziness/ease. My husband likes meat so I cook meals to suit his tastes. If I were on my own I’d be vegetarian.
Vegan,"Animal welfare, minimising our environmental impact and my (and my family’s) health."
Vegan,"I follow it for the health benefits, to reduce my environmental impact, and the cruelty towards animals"
Vegan,health reason and environmental impact
Vegan,Animal cruelty
Vegan,Conservation of the planet’s resources and cruelty to other animals.
Vegan,No harm to animals.
Vegan,"To prevent harm and death to animals, and minimise my support for the perpetrators of animal cruelty. 

To minimise my environmental footprint as animal agriculture is a huge polluter and waste of crops and land that could be used to fed people. 

To improve my health as animal products are proven to have extremely detrimental health impacts on the human body."
Vegan,"Conscious, health, logic, compassion, love of animals, equality, environment."
Vegan,"Ethical, environmental, and health benefits"
Vegan,"Animal rights 
Health and longevity"
Vegan,My main motivation is for the animals and environment.
Vegan,I don't want to harm sentient beings.
Omnivore,"I restrict the meat I consume, and choose vegan/vegetarian options when they're available. I don't know enough about nutrition to comfortably transition away from meat permanently. This belief is based on how I was raised."
Vegetarian,Environmental reasons
Vegan,I don't want to be the cause of animal suffering and death.
Omnivore,I tried veganism but I find myself too lazy to prepare meals
Vegan,"There is no reason for any animal to be enslaved, tortured and slaughtered for us."
Vegan,"I started my path after a 12 day Vegan challenge. During the 12 days I watched A LOT of documentaries, and realized I just felt better. It’s been a snowball effect. Now i’m Vegan for myself, the Animals, and the Earth."
Vegan,"Health, ethical, environmental"
Vegan,I'm an animal lover and against the oppression of animals. Also against animal cruelty and exploiting animals.
Vegan,"I have respect for all living beings, the environment and nature, as well as my own health"
Vegetarian,The meat industry is bad for the environment and I get paranoid when I’m eating meat that someone killed my family member and put it in my food as punishment for eating dead animals.
Vegan,I want to avoid contributing to animal suffering. I believe a plant based diet has less environmental impact. And now that I am used to it - it just tastes better!
Vegetarian,"I would like to make a smaller impact on the environment and I deeply care for animals. However, I have recently eaten meat due to health issues."
Vegan,The treatment of animals disgust me - I would never treat my puppy at home the way other animals get treated - all about equality for life - every living being deserves the same love and respect as those with more power (humans).
Vegan,I don't believe any living thing should suffer and live a short unfulfilled life in order to provide nourishment for me
Vegan,"Ethics, environmental benefits"
Vegetarian,"Ethical, meat grosses me out"
Vegan,To eliminate animal cruelty
Vegan,Initially for controlling insulin resistance but have understood the ethical stance and I agree.
Vegan,"The health benefits,environmental factors and animal cruelty"
Omnivore,Ease and convenience - quick access to protein to build muscle as an athlete. Willful ignorance of moral issues surrounding meat consumption.
Omnivore,Really enjoy it
Vegan,"'-Love of animals
-Healthier life
-Environmental friendly lifestyle
"
Vegan,"Ethical, health & environmental"
Vegetarian,Raised a vegetarian from birth but also my own beliefs.
Vegan,"I could not construct a consistent ethical framework that involved eating meat and the cognitive dissonance sucked. Also, it's better for the environment (so long as I avoid certain vegan products), and better for my health (and the structured eating helps with my eating disorder)"
Vegetarian,"Personal taste/texture of food. Disgust of meat/aversion, health reasons and ethical reasons incl. treatment of animals and endorment all issues"
Vegan,It is the most environmentally sustainable diet that also incorporates animal welfare
Vegan,Ethics. I do not believe in animal use or exploitation.
Vegan,"Animal ethics - animals are not here for us to exploit, are sentient beings, feel the same emotions we do 
Environmental reasons"
Omnivore,Convenience
Vegan,"For the environment, for the animals, and for my health."
Vegetarian,Against eating animals; animal cruelty; impact on environment
Vegetarian,"Environmental impact and health benefits, mainly."
Vegan,"To help stop climate change
Cows (milk and meat) contribute so much to greenhouse gas emissions. I also don't like the taste of meat and chickens are kept so cruelly so vegan is the only and obvious choice"
Vegan,"First and foremost ethical reasons. I cannot deal with animal cruelty. I'm one of those people who cry when they see cattle trucks/trains. 
The health and environmental outcomes are a bonus."
Vegan,I am vegan because I am against animal cruelty in any form.
Vegan,"for the animals, my conscious, morals, health and environment."
Vegan,I love animals and I don't want them to be killed to serve as my food.
Vegetarian,"Animal welfare
Carbon footprint
It's healthier"
Vegan,"Environmental, animal rights"
Omnivore,I love meat but I want to have vegetables because you cannot livevon meat alone. You need vegetables
Omnivore,"Until two months ago I had been vegetarian for 7 years. I started eating fish again after a relationship breakdown with my husband who is a staunch vegetarian of 15+ years. I can't explain the mechanics of it but whilst the thought of eating mammals and birds makes me feel queezy, I love the taste and texture of fish and seafood and feel more like myself when I allow it into my diet."
Vegan,My girlfriend went vegan and so it was a bit awkward making meals together. Plus she always gave me wicked side eye when I would eat omnivorous meals..So decided to try it out to make her happy. And then I realised that I felt much healthier and wasn’t constantly bloated and constipated. Plus I’m an animal lover and couldn’t justify supporting animal cruelty while still identifying that way.
Vegetarian,Brought up vegetarian and for ecological reasons
Vegan,"Originallyethical reasons, but after seven years, I just have gotten used to it and it is hardly inconvenient in the place where I live"
Vegetarian,Ethical. Was vegan for ten years. Then lapsed to omnivore. Returned to vegetarian this year and returning to veganism for animal welfare and environmental reasons.
Omnivore,"Its easy, I'm used to it, I think it provides a good balance"
Vegan,"Ethical, environmental, health"
Vegetarian,"Health, sustainability, ethics, cost-effectiveness"
Vegan,Ethical (animal welfare)
Vegan,Ethical and health
Omnivore,"Crohn’s disease. Many plant proteins, as well as excessive amounts of fiber, I have trouble digesting. Often leads to bloating, gas, cramps, and stomach pain. I wish I could be vegetarian or vegan and have tried to maintain a pescatarian diet."
Vegetarian,"Meat consumption is unparalleled as a human behaviour that is easy (high plasticity)  to reduce (if not extinguish), and where even a small reduction in consumption has huge impact on biodiversity. Such an obvious place to start.  One of my students (Matthew Selinske) is working on this too. Look him up, at RMIT. 

And also meat tastes yucky and I haven’t eaten it since I was 12 (when my mum said I was allowed to use the stove)."
Vegetarian,"Environment, health, and ethics"
Vegan,"I support animal ethics, which means I do not believe it is right to take the life of another animal to gratify my appetite or clothing desires."
Vegan,"Animal welfare
Ecological and climate impact of farming
Dislike of meat/cheese"
Vegan,"Because I can consider all lives before my own.  
For health,  for animal welfare,  for compassion, for world hunger, for peace and for the environment.  
It is not necessary for me to use or cause pain in this life."
Omnivore,"Firstly I was raised as an omnivore so it's just something I'm used to and secondly it's easier to get hold of meat than substitutes.
Though since being diagnosed with lactose intolerance I have questioned why my body won't accept dairy and thought maybe I shouldn't eat meat or eggs either as it might not be good for our bodies to consume animal products, plus it's cruel and bad for the earth. I would love to go vegan as I understand what animals go through but living with IBS I have been advised by my gastro consultant and dietician to really limit my fibre intake which I would find hard to stick to as a vegan because it's a plant based diet. I have tried veganism a few times over the last few years but never managed to stick it out, simply because of flare ups because of fibrous vegan food and truthfully my cravings kick in after a few days for meat/fish/eggs - Perhaps because of deficiencies. It's always been while consuming a vegan diet when I have been unwell then diagnosed with B12 deficiency and folate deficiency. Then I get advised to increase my red meat intake (or green veg intake which is a no go because of the fibre content) but I'm not really a fan of red meat and it's expensive so I take a course of vitamins for a few months and I'm ok again. I prefer seafood but I understand this is also cruel and I hate seeing fishermen pose on photos holding a fish out of water, I see it suffocating. I don't miss dairy as I have found alternatives that are better than dairy - Even though most fake cheeses smell bad! Whereas I dont feel any meat or fish substitutes compare to real thing, except quorn chicken pieces and quorn sausages. I'm actually trying to put a meal plan together that's vegan and low in fibre. I think anyone can go vegan so long as it is tailored to their dietary needs for their personal health."
Vegetarian,"- Discomfort with the idea of eating a another living being
 - Reducing environmental impact
 - Reducing animal suffering"
Vegetarian,Ethical
Vegan,"Mainly ethical reasons, but also environmental, and partly health"
Vegan,"I believe we as humans have a responsibility to do our actions in ways which excludes unnecessary harm to non human animals, as I believe all animals have a right to live. We can and do in fact observe that animals do not want to die. In my opinion, factory farming, which is the most common method behind common store bought animal products, involves methods and treatments that in no way can be considered respectful of the animals, their well being and their interests. Following a vegan diet is also, at least as far as I am concerned, way more sustainable in regards to water usage and land area used, and can also easily be more nutritionally appropriate for humans. I must mention, though, that I am mainly vegan for the animals, and the other benefits are just added ""bonuses""."
Vegan,"Reasons include: animal cruelty, factory farming of animals, environmental impact, vegan diet with b12 supplements provide all requirements for health, ethically aligns with my beliefs."
Omnivore,"I love meat. Also, I eat alot of protein due to following a typical bodybuilders lifestyle of eating and training"
Omnivore,Ease and preference
Vegan,"Animal rights/welfare, environmental, health"
Vegan,"Ethical, Environmental"
Vegetarian,Historical ethical reasons.
Vegan,because I wouldn’t never consciously harm an animal so why was I paying for someone else to on my behalf
Vegan,Ethical
Vegan,"A whole food plant based (no protein powders, no added/refined oils) vegan diet reduces chronic disease risk.  Plant protein sources are lower in methionine. So a diet that has adequate protein from legumes and other sources will have slightly less methionine.  Methionine mediates benefits seen in calorie restriction in the studying of aging."
Vegan,"Not comfortable with putting things from animals in my body, don't want animals to die just so I can have something to eat, wish to avoid the negative effects of eating animal products, wish to be more kinder to the earth."
Vegan,"Ethical, Health and Environmental"
Omnivore,"Omnivore but meat-heavy. Main reasons: it is evolutionary-appropriate; animal protein and fat included is fundamental for optimal hormonal, muscle, bone, and brain function."
Vegan,"Environment
Animal welfare
Health"
Vegan,Ethics
Vegan,"For the animals, the planet, and my own health."
Vegan,"To not contribute to slavery, exploitation and murder of non-human animals, diminish my environmental impact and keep in grand health."
Omnivore,Accessibility
Omnivore,"Nutrition, how I was brought up."
Vegan,Ethical
Omnivore,I enjoy consuming meat and have no problem with the killing of animals for food
Omnivore,Because I’m a lazy piece of shit...
Omnivore,I enjoy it.
Omnivore,I enjoy most food
Omnivore,It's the way my family eats
Omnivore,"Habit, health, taste"
Omnivore,"Lifestyle
Taste
Background"
Vegan,"I was a volunteer at a local animal sanctuary as a teenager, run by a family of vegans. They made no attempts to influence me into being vegan, but did make literature and resources available to me in case I wanted to learn about it. The animal sanctuary mostly rescued farm animals, including ex-battery chickens. During my first such rescue, I had the unique opportunity to see first hand what those facilities are like. The sensory experience was overwhelming inside a battery shed; the intense heat from tens of thousands of animals all crammed into one space, the presence of flies and maggots everywhere and the unbearable smell of several tonnes of excrement and thousands of rotting chicken corpses was just awful. I couldn’t reconcile that experience with my enjoyment of the taste of meat, dairy and eggs. I became vegan aged 12."
Omnivore,"I would say I more accurately eat a mostly vegetarian diet but I do eat chicken on a weekly basis. Eating meat (specially red meat) and eating any dairy has made me feel bloated, uncomfortable, and overall sickly. I prefer to eat what makes me feel better, but unfortunately it’s easier for me to eat dairy, meat, and vegetables."
Vegan,Ethical reasons
Vegetarian,Moral and health reasons. Working on transitioning to veganism.
Omnivore,Balance
Vegan,"For the animals, for my health and for the environment."
Vegan,"Ethical: all sentient animals deserve moral consideration and should therefore not be harmed for the taste of a meal when other nutritious foods are available and one can survive on a solely plant-based diet. 
Environmental: Animal agriculture has a large impact on the environment (soil and water eutrophication, air pollution, deforestation, and climate change). Also, it is energetical inefficient to feed nutritious plants to livestock first."
Omnivore,"Poor self-control and lack of time - otherwise, I’d be vegetarian or vegan."
Vegetarian,"Environment (reduced water use and GHG emissions)
"
Omnivore,It’s what has always worked for me
Omnivore,No real reason
Vegetarian,"To not eat unethically treated animals, to help the environment, to improve my health, and to save money."
Omnivore,Financial situation
Vegan,"I started for environmental and health reasons, but now my main motivator is ethical - I don't believe sentient beings who feel pain should be raised, abused, and killed for human consumption because it is morally wrong.  I continue to feel strongly about the positive environmental and health effects that a vegan diet has to offer."
Omnivore,"I believe in the environmental and ethical ideas behind vegetarianism and personally eat very little meat, but in a culture that, in my opinion, promotes extremes, black and white thinking, restriction, and ascribes moral value to people based on what they consume, I try to avoid any kind of rigidity in my diet. 
Besides, I am concerned about other issues (environmental concerns like transportation of food, pesticides, or unethical business practices of food conglomerates like human rights violations and unfair labor, and so many other things) that it would be impossible for me to eat only food consistant with my values. Why would I prioritize one cause over another? 
And finally because having had anorexia as a teenager, I appreciate the freedom of not having to think about what I eat, whether that's when I go out or in terms of nutrition (I know it's perfectly possible to have balanced vegan and vegetarian diets, but it does require just slightly more effort and awareness in terms of micronutrients that I don't necessarily want to invest thought in)."
Vegetarian,"Health benefits, reducing my environmental impact, and moral reasons."
Omnivore,"Never given much thought to diet, I eat whatever's available and appealing."
Omnivore,I was raised omnivore and have not had a desire to change.
Vegetarian,"Ethical/Environmental beliefs primarily, with the discovery of a major health anomaly playing a secondary role in adopting a healther more natural diet."
Vegan,Ethical and health
Omnivore,I was previously anorexic and my dietitian taught me how to eat a balanced diet based on Australian guidelines
Vegetarian,"To help animal cruelty, climate change/the environment, and my health."
Vegetarian,To reduce suffering.  The fact that the planet and my health benefit as well is terrific but not why I started.
Vegetarian,"At this point, it's mostly out of habit and because it helps the environment a bit. I've had a problem with my jaw since childhood that made eating meat difficult and I have a strong aversion to seafood so I never was a big fan of eating meat just because it could be painful for me. As I child I was often sick to the point where it impacted my grades because I was absent so much. My immune system was garbage. When I was a teenager, my parents went away for a trip and when left to cook for myself I unintentionally didn't have meat, dairy or eggs that week or so. I noticed I felt a lot better and decided to become a vegetarian since I felt better. I most likely have a food allergy of some sort to one of the foods that got cut out, but can't be bothered to get tested because I don't care enough. So here I am over 20 years later still a vegetarian with no real strong reason for it."
Vegan,"Ethical, environmental and health"
Omnivore,"I feel this is the best diet for me, nutritionally balanced & the most delicious. I do not eat a huge amount of meat, I often have nice vegetarian meals too. When I eat meat, it is usually red meat with high iron, as I have low iron."
Vegetarian,Ethical reasons
Omnivore,"I restrict meat to one meal per week and do not consume dairy products. I would like to go full vegetarian / vegan for environmental reasons, but culturally it is hard to not eat meat when I visit my parents/family."
Vegetarian,"I initially ate vegetarian for religious reasons and was planning to return to eating meat after a couple months, but have continued to be vegetarian for a combination of health, ethical, and environmental reasons as well as personal preference."
Vegetarian,I suddenly find meat unappetizing.
Omnivore,Due to allergies and sensitivities I am unable to cut meat out of my diet as it is a necessary source of protein + iron + nutrients
Omnivore,"I feel better when I eat meat, but I also like my veggies."
Vegetarian,"Ethical reasons mainly! I find eating animals morally wrong. Regardless of whether it's supposed to be healthier for my body, I simply can't. I never really liked the taste of meat anyway..."
Vegetarian,"I just like animals, mostly, but also I've heard it can help with chronic pain, I think it is healthier overall and mass meat production is harmful to the environment."
Vegetarian,The negative environmental impacts of eating meat
Omnivore,It is how I was raised and what is most easily available in my culture.
Omnivore,"Raised on it,  I don't do the cooking"
Omnivore,I like the variety and I like meat
Vegan,"Ethical, environmental, health."
Vegetarian,To fight climate change by reducing emissions
Vegetarian,"ethical, environmental"
Omnivore,I like meat
Vegetarian,Ethical and sustainability. Intensive farming practices are a huge threat to the environment.
Vegan,"I don't want to contribute to the cruelty in our factory farming industries, and believe that animals are sentient beings who deserve love and free life.

I also believe it is our best bet at sustainability."
Omnivore,I grew up eating this way.
Omnivore,Convenience
Omnivore,Convenience; tradition; cost; availability.
Omnivore,"Always eaten like this, however now that mum and sister are vegetarian I do have a lot less meat in my diet"
Omnivore,"I enjoy eating a wide variety of food, and while I eat meat, I try to eat sustainable and responsibly sourced meat and animal products"
Omnivore,"I'm too lazy and too bad acok to make tasty vegetarian food, which morally is how I would like to eat"
Vegan,"For the love of non human animals, and for environmental reasons."
Omnivore,"No particular reason, I don’t particularly feel obligated to restrict myself from meat or other  animal products."
Omnivore,I like all food
Omnivore,Easy
Vegetarian,I do not like the taste or textures of meat
Vegetarian,I don’t like the taste of meat. I’ve never really eaten large amounts of meat so becoming vegetarian was not a big lifestyle change for me.
Omnivore,Upbringing/taste/convenience
Vegetarian,Animal cruelty and protecting oceans
Vegetarian,"Environmental impact mostly, but also consciousness regarding what we consume..."
Vegetarian,"Religion and empathy
"
Vegan,For the environment and animals as well as my health
Omnivore,Balanced diet and lifestyle
Omnivore,Convenience
Omnivore,It's easier and cheaper
Vegetarian,Prefer not to have meat in my diet.
Vegetarian,"Moral, environmental, health"
Omnivore,"Health, cost, convenience, belief system."
Omnivore,Like the food
Omnivore,Love a variety of food
Omnivore,Its how i grew up and its what i choose as an adult.
Omnivore,Convenience and habit
Vegetarian,Primarily for health reasons but also because I want to limit animal suffering where I can
Omnivore,"Try to be vegetarian, from preference & regard for animals & planet. However occasionally include chicken & fish as partner cooks both."
Vegetarian,Ethical - both around animals and the environment.
Omnivore,"upbringing, taste, convenience"
Omnivore,I enjoy eating all types of food including meat.
Omnivore,I train a lot and it’s the easiest way to get protein. I also enjoy the taste
Omnivore,Health
Omnivore,"Brought up on it, enjoy eating it"
Omnivore,Just always have
Vegetarian,"Environmental, animal welfare"
Vegetarian,Intolerance to meat
Omnivore,"Preferences, habit"
Vegan,"Originally for my husbands stomach issues, later as we learnt more about benifits to the environment and animal welfare"
Vegan,"Health, environment, animals"
Vegetarian,I dont belive animals should die for me
Vegan,Animal cruelty and environmental issues
Vegan,For the environment and for my health. I believe that if we can live a life without harming someone else then why shouldn’t we.
Vegetarian,Ethical and health
Omnivore,I love meat
Vegetarian,For healthy and loving animal
Omnivore,Because I want to know more about my health issues
Omnivore,"A vegetarian diet would actually be very expensive in my country, Guyana. I earn low to middle income in my country and it would be very expensive to be vegetarian!"
Omnivore,variety
Vegan,Environmental reasons
Vegan,To not participate in the slaughter of any animal species
Vegetarian,"I believe that eating meat is unethical because of a number of reasons. mainly, the sentience of animals. we just don't know enough yet. the environmental impacts of eating animal products is also a contributing factor. i eat a mainly vegan diet however I say vegetarian as im still eliminating all animal products entirely. i still consume dairy if it's as a by product or as a part of work (im a barista)"
Vegan,Ethical reasons
Vegan,For the animals! Friends not food.
Vegan,"mainly ethical and moral reasons, but also for the environmental and health aspects"
Vegan,Health and ethical
Vegetarian,Don’t want animal dying
Vegan,"Environmental, ethical and health reasons"
Vegetarian,"Brought up pescetarian way- family mainly ate fish not meat
Ethical reasons
Health reasons 
"
Vegan,Ethical and environmental reasons
Vegan,"Animal welfare, own health, did veganuary in February and haven’t stopped"
Vegan,Animal rights and welfare
Vegan,"Animals rights mostly, followed by environment and lastly health"
Vegan,"Ethical, for the animals"
Vegan,Health. Animals.
Vegan,Because we don't need to support animal cruelty to live
Vegetarian,Ethical
Vegan,"Ethical - for the animals
Secondarily environmental reasons"
Vegan,"Environmental, ethical, health"
Vegan,Health
Vegan,"Health benefits, animal welfare, reduced environmental impact"
Vegan,I follow this diet primarily for the animals; and also the combination of climate change and health benefits.
Vegan,"Environmental, ethical, health"
Vegan,Love of animals and need to follow an ethical life style that supports my morals and values
Vegetarian,To know do and don't about diet
